Sr.No.,Adsorbate,Adsorbent,Pressure(bar),Composition(mmolfraction),Adsorption (m mol/g)
320,CO2,Ammonium ZSM-5 Zeolite,11.3339,1,3.11556
321,CO2,Ammonium ZSM-5 Zeolite,14.2937,1,3.18191
322,CO2,Ammonium ZSM-5 Zeolite,17.6444,1,3.238
323,CO2,Ammonium ZSM-5 Zeolite,19.73,1,3.26344
324,CO2,Ammonium ZSM-5 Zeolite,22.5541,1,3.29242
325,CO2,Ammonium ZSM-5 Zeolite,26.4725,1,3.32933
326,CO2,Ammonium ZSM-5 Zeolite,27.0034,1,3.33321
327,CO2,Ammonium ZSM-5 Zeolite,29.6202,1,3.35421
328,CO2,Ammonium ZSM-5 Zeolite,0.003074,1,0.038822
329,CO2,Ammonium ZSM-5 Zeolite,0.005034,1,0.064361
330,CO2,Ammonium ZSM-5 Zeolite,0.009227,1,0.111049
331,CO2,Ammonium ZSM-5 Zeolite,0.021971,1,0.225892
332,CO2,Ammonium ZSM-5 Zeolite,0.047756,1,0.398056
333,CO2,Ammonium ZSM-5 Zeolite,0.103751,1,0.663013
334,CO2,Ammonium ZSM-5 Zeolite,0.16252,1,0.871818
335,CO2,Ammonium ZSM-5 Zeolite,0.409165,1,1.43738
336,CO2,Ammonium ZSM-5 Zeolite,0.699541,1,1.80819
337,CO2,Ammonium ZSM-5 Zeolite,0.89819,1,1.97921
338,CO2,Ammonium ZSM-5 Zeolite,1.30149,1,2.2166
339,CO2,Ammonium ZSM-5 Zeolite,1.9225,1,2.44091
340,CO2,Ammonium ZSM-5 Zeolite,3.29839,1,2.70883
341,CO2,Ammonium ZSM-5 Zeolite,6.74343,1,2.9897
342,CO2,Ammonium ZSM-5 Zeolite,9.97515,1,3.10614
343,CO2,Ammonium ZSM-5 Zeolite,12.9616,1,3.20685
344,CH4,Zeolite Y,0,1,0.017111
345,CH4,Zeolite Y,1.00305,1,0.411046
346,CH4,Zeolite Y,2.00237,1,0.779906
347,CH4,Zeolite Y,3.0041,1,1.12424
348,CH4,Zeolite Y,4.00853,1,1.49193
349,CH4,Zeolite Y,5.01668,1,1.76633
350,CH4,Zeolite Y,6.00848,1,2.00686
351,CH4,Zeolite Y,6.99429,1,2.21132
352,CH4,Zeolite Y,8.00623,1,2.40654
353,CH4,Zeolite Y,8.99549,1,2.56962
354,CH4,Zeolite Y,10.0053,1,2.71876
355,CH4,Zeolite Y,12.0069,1,2.97931
356,CH4,Zeolite Y,14.0118,1,3.18302
357,CH4,Zeolite Y,16.0017,1,3.35205
358,CH4,Zeolite Y,17.9959,1,3.5018
359,CH4,Zeolite Y,20.0594,1,3.63025
360,CH4,Zeolite Y,21.9915,1,3.70403
361,CH4,Zeolite Y,24.019,1,3.77394
362,CH4,Zeolite Y,25.987,1,3.82755
363,CH4,Zeolite Y,28.0654,1,3.87875
364,CH4,Zeolite Y,30.038,1,3.93362
365,CH4,Zeolite Y,34.4763,1,4.0207
366,CH4,Zeolite Y,38.9863,1,4.07709
367,CH4,Zeolite Y,43.4844,1,4.13952
368,CH4,Zeolite Y,47.9831,1,4.15412
369,CH4,Zeolite Y,52.5151,1,4.18958
370,CH4,Zeolite Y,56.9557,1,4.21636
371,CH4,Zeolite Y,61.5203,1,4.25587
372,CH4,Zeolite Y,66.0793,1,4.29264
373,CH4,Zeolite Y,0.336202,1,0.112707
374,CH4,Zeolite Y,0.860898,1,0.313275
375,CH4,Zeolite Y,1.53326,1,0.558954
376,CH4,Zeolite Y,4.68701,1,1.54686
377,CH4,Zeolite Y,7.27468,1,2.15369
378,CH4,Zeolite Y,9.27126,1,2.51579
379,CH4,Zeolite Y,10.7506,1,2.73934
380,CH4,Zeolite Y,12.1081,1,2.91562
381,CH4,Zeolite Y,14.0979,1,3.13278
382,CH4,Zeolite Y,16.1057,1,3.31352
383,CH4,Zeolite Y,18.079,1,3.46258
384,CH4,Zeolite Y,20.0828,1,3.59151
385,CH4,Zeolite Y,22.0699,1,3.69979
386,CH4,Zeolite Y,24.095,1,3.7954
387,CH4,Zeolite Y,26.059,1,3.87534
388,CH4,Zeolite Y,28.0856,1,3.94688
389,CH4,Zeolite Y,30.0958,1,4.00769
390,CH4,Zeolite Y,34.5025,1,4.11444
391,CH4,Zeolite Y,39.0486,1,4.19419
392,CH4,Zeolite Y,43.5044,1,4.25234
393,CH4,Zeolite Y,47.9848,1,4.29152
394,CH4,Zeolite Y,52.4724,1,4.31773
395,CH4,Zeolite Y,57.0059,1,4.33362
396,CH4,Zeolite Y,61.4139,1,4.33512
397,CH4,Zeolite Y,65.872,1,4.3251
398,CH4,Zeolite Y,70.4148,1,4.30802
399,CH4,Zeolite Y,74.9369,1,4.27961
400,CH4,Zeolite Y,0.190068,1,0.077822
401,CH4,Zeolite Y,0.965772,1,0.375991
402,CH4,Zeolite Y,1.72668,1,0.653534
403,CH4,Zeolite Y,2.4455,1,0.897429
404,CH4,Zeolite Y,3.15892,1,1.12504
405,CH4,Zeolite Y,3.84952,1,1.32866
406,CH4,Zeolite Y,4.50835,1,1.50968
407,CH4,Zeolite Y,5.41306,1,1.73665
408,CH4,Zeolite Y,6.33277,1,1.94
409,CH4,Zeolite Y,7.25642,1,2.1279
410,CH4,Zeolite Y,8.20242,1,2.29512
411,CH4,Zeolite Y,9.14052,1,2.4449
412,CH4,Zeolite Y,10.0947,1,2.58252
413,CH4,Zeolite Y,11.9948,1,2.81335
414,CH4,Zeolite Y,13.9076,1,3.00176
415,CH4,Zeolite Y,15.8372,1,3.15872
416,CH4,Zeolite Y,17.773,1,3.28944
417,CH4,Zeolite Y,19.7118,1,3.39951
418,CH4,Zeolite Y,21.6588,1,3.49803
419,CH4,Zeolite Y,23.6216,1,3.58378
420,CH4,Zeolite Y,25.5793,1,3.65061
421,CH4,Zeolite Y,27.541,1,3.70844
422,CH4,Zeolite Y,29.4992,1,3.76061
423,CH4,Zeolite Y,31.4616,1,3.80961
424,CH4,Zeolite Y,33.6796,1,3.85017
425,CH4,Zeolite Y,35.8828,1,3.88977
426,CH4,Zeolite Y,38.101,1,3.91666
427,CH4,Zeolite Y,40.3064,1,3.93884
428,CH4,Zeolite Y,42.5191,1,3.95844
429,CH4,Zeolite Y,44.7255,1,3.97527
430,CH4,Zeolite Y,46.9345,1,3.98472
431,CH4,Zeolite Y,49.1537,1,3.99274
432,CH4,Zeolite Y,51.3625,1,3.99673
433,CH4,Zeolite Y,53.5683,1,3.9989
434,CH4,Zeolite Y,55.7763,1,3.99771
435,CH4,Zeolite Y,57.9892,1,3.98869
436,CH4,Zeolite Y,60.1952,1,3.98639
437,CH4,Zeolite Y,62.4046,1,3.97344
438,CH4,Zeolite Y,64.6136,1,3.9665
439,CH4,Zeolite Y,66.8282,1,3.94885
440,CH4,Zeolite Y,1.05867,1,0.410229
441,CH4,Zeolite Y,2.02167,1,0.75453
442,CH4,Zeolite Y,3.01967,1,1.08026
443,CH4,Zeolite Y,4.03233,1,1.38001
444,CH4,Zeolite Y,4.985,1,1.63057
445,CH4,Zeolite Y,5.999,1,1.86875
446,CH4,Zeolite Y,6.99633,1,2.0752
447,CH4,Zeolite Y,8.05033,1,2.27155
448,CH4,Zeolite Y,8.98433,1,2.42372
449,CH4,Zeolite Y,9.99567,1,2.57032
450,CH4,Zeolite Y,12.004,1,2.81742
451,CH4,Zeolite Y,13.982,1,3.01428
452,CH4,Zeolite Y,16.0123,1,3.17742
453,CH4,Zeolite Y,17.998,1,3.31177
454,CH4,Zeolite Y,20.008,1,3.42441
455,CH4,Zeolite Y,22.003,1,3.51901
456,CH4,Zeolite Y,23.9957,1,3.59882
457,CH4,Zeolite Y,25.9987,1,3.66837
458,CH4,Zeolite Y,28.024,1,3.729
459,CH4,Zeolite Y,30.0693,1,3.7796
460,CH4,Zeolite Y,34.4637,1,3.86604
461,CH4,Zeolite Y,39.0137,1,3.92863
462,CH4,Zeolite Y,43.6197,1,3.97056
463,CH4,Zeolite Y,48.0513,1,3.99716
464,CH4,Zeolite Y,52.6437,1,4.01005
465,CH4,Zeolite Y,57.0367,1,4.01496
466,CH4,Zeolite Y,61.5203,1,4.00961
467,CH4,Zeolite Y,66.0247,1,3.99668
468,CH4,Zeolite Y,70.5057,1,3.97859
469,CH4,Zeolite Y,75.0253,1,3.95229
470,CH4,Zeolite Y,0.331925,1,0.110998
471,CH4,Zeolite Y,0.852801,1,0.309472
472,CH4,Zeolite Y,1.51866,1,0.551512
473,CH4,Zeolite Y,4.68419,1,1.54695
474,CH4,Zeolite Y,7.29708,1,2.16006
475,CH4,Zeolite Y,9.3369,1,2.52948
476,CH4,Zeolite Y,10.8511,1,2.75483
477,CH4,Zeolite Y,12.0911,1,2.91489
478,CH4,Zeolite Y,14.1055,1,3.13505
479,CH4,Zeolite Y,16.0937,1,3.31402
480,CH4,Zeolite Y,18.0972,1,3.46659
481,CH4,Zeolite Y,20.0947,1,3.59425
482,CH4,Zeolite Y,22.068,1,3.70257
483,CH4,Zeolite Y,24.0863,1,3.79838
484,CH4,Zeolite Y,26.0923,1,3.88016
485,CH4,Zeolite Y,28.0479,1,3.94902
486,CH4,Zeolite Y,30.047,1,4.01033
487,CH4,Zeolite Y,34.5538,1,4.11893
488,CH4,Zeolite Y,39.0018,1,4.19697
489,CH4,Zeolite Y,43.5037,1,4.25251
490,CH4,Zeolite Y,47.9769,1,4.29269
491,CH4,Zeolite Y,52.4507,1,4.3184
492,CH4,Zeolite Y,56.9834,1,4.33293
493,CH4,Zeolite Y,61.4621,1,4.33701
494,CH4,Zeolite Y,65.9858,1,4.32775
495,CH4,Zeolite Y,70.3767,1,4.30926
496,CH4,Zeolite Y,74.8609,1,4.27733
497,CH4,Zeolite Y,0.9882,1,0.3831
498,CH4,Zeolite Y,1.9998,1,0.7351
499,CH4,Zeolite Y,3.0007,1,1.0535
500,CH4,Zeolite Y,4.0004,1,1.3433
501,CH4,Zeolite Y,5.002,1,1.6054
502,CH4,Zeolite Y,6.0006,1,1.8397
503,CH4,Zeolite Y,7.003,1,2.049
504,CH4,Zeolite Y,8.0012,1,2.237
505,CH4,Zeolite Y,9.0007,1,2.4009
506,CH4,Zeolite Y,9.5013,1,2.4838
507,CH4,Zeolite Y,0.198629,1,0.103824
508,CH4,Zeolite Y,0.398503,1,0.206413
509,CH4,Zeolite Y,0.596718,1,0.292678
510,CH4,Zeolite Y,0.7959,1,0.374669
511,CH4,Zeolite Y,1.00047,1,0.453626
512,CH4,Zeolite Y,1.49864,1,0.644609
513,CH4,Zeolite Y,1.99804,1,0.823299
514,CH4,Zeolite Y,2.99824,1,1.15715
515,CH4,Zeolite Y,3.9983,1,1.45217
516,CH4,Zeolite Y,4.99601,1,1.71344
517,CH4,Zeolite Y,6.00008,1,1.94474
518,CH4,Zeolite Y,6.99903,1,2.14971
519,CH4,Zeolite Y,8.00075,1,2.33193
520,CH4,Zeolite Y,8.99873,1,2.49177
521,CH4,Zeolite Y,9.99713,1,2.63384
522,CH4,Zeolite Y,12.0006,1,2.88153
523,CH4,Zeolite Y,14.0016,1,3.07222
524,CH4,Zeolite Y,15.9971,1,3.22919
525,CH4,Zeolite Y,18.0294,1,3.35945
526,CH4,Zeolite Y,19.5016,1,3.4372
527,CH4,Zeolite Y,1.0101,1,0.394
528,CH4,Zeolite Y,2.0342,1,0.76337
529,CH4,Zeolite Y,3.082,1,1.10031
530,CH4,Zeolite Y,3.9851,1,1.37545
531,CH4,Zeolite Y,5.0069,1,1.63766
532,CH4,Zeolite Y,6.0722,1,1.88776
533,CH4,Zeolite Y,6.995,1,2.08088
534,CH4,Zeolite Y,8.0254,1,2.2696
535,CH4,Zeolite Y,9.0348,1,2.43456
536,CH4,Zeolite Y,10.0211,1,2.57726
537,CH4,Zeolite Y,11.9237,1,2.81105
538,CH4,Zeolite Y,14.025,1,3.02001
539,CH4,Zeolite Y,16.564,1,3.21942
540,CH4,Zeolite Y,17.9645,1,3.30785
541,CH4,Zeolite Y,20.0459,1,3.42104
542,CH4,Zeolite Y,21.9806,1,3.51428
543,CH4,Zeolite Y,23.9609,1,3.59497
544,CH4,Zeolite Y,25.9607,1,3.65869
545,CH4,Zeolite Y,28.0464,1,3.72068
546,CH4,Zeolite Y,30.0891,1,3.76969
547,CH4,Zeolite Y,35.1754,1,3.86597
548,CH4,Zeolite Y,39.8134,1,3.92724
549,CH4,Zeolite Y,44.0037,1,3.96055
550,CH4,Zeolite Y,48.5935,1,3.97909
551,CH4,Zeolite Y,52.7439,1,3.99495
552,CH4,Zeolite Y,57.0704,1,3.99072
553,CH4,Zeolite Y,61.3386,1,3.98747
554,CH4,Zeolite Y,66.191,1,3.97863
555,CH4,Zeolite Y,70.3988,1,3.95043
556,CH4,Zeolite Y,74.9972,1,3.92582
557,CH4,Zeolite Y,1.0171,1,0.389102
558,CH4,Zeolite Y,2.0191,1,0.758759
559,CH4,Zeolite Y,3.0341,1,1.09411
560,CH4,Zeolite Y,4.1161,1,1.41805
561,CH4,Zeolite Y,5.0661,1,1.66802
562,CH4,Zeolite Y,6.0161,1,1.90905
563,CH4,Zeolite Y,7.0561,1,2.12653
564,CH4,Zeolite Y,8.0261,1,2.30007
565,CH4,Zeolite Y,9.0161,1,2.46325
566,CH4,Zeolite Y,9.9961,1,2.60792
567,CH4,Zeolite Y,11.9661,1,2.85182
568,CH4,Zeolite Y,13.9661,1,3.06742
569,CH4,Zeolite Y,16.0161,1,3.22937
570,CH4,Zeolite Y,17.9761,1,3.35367
571,CH4,Zeolite Y,19.9661,1,3.46574
572,CH4,Zeolite Y,22.0661,1,3.56513
573,CH4,Zeolite Y,24.2161,1,3.64552
574,CH4,Zeolite Y,26.2061,1,3.71499
575,CH4,Zeolite Y,28.1961,1,3.774
576,CH4,Zeolite Y,29.9461,1,3.82169
577,CH4,Zeolite Y,34.9961,1,3.90872
578,CH4,Zeolite Y,38.2561,1,3.99453
579,CH4,Zeolite Y,43.2961,1,4.01506
580,CH4,Zeolite Y,49.0961,1,4.0519
581,CH4,Zeolite Y,53.1961,1,4.05316
582,CH4,Zeolite Y,56.8961,1,4.05613
583,CH4,Zeolite Y,61.7961,1,4.05825
584,CH4,Zeolite Y,65.9961,1,4.07482
585,CH4,Zeolite Y,70.3961,1,4.07168
586,CH4,Zeolite Y,74.7961,1,4.08062
587,CH4,Zeolite Y,1.01,1,0.433992
588,CH4,Zeolite Y,2.02,1,0.804051
589,CH4,Zeolite Y,3.03,1,1.13973
590,CH4,Zeolite Y,4.02,1,1.43888
591,CH4,Zeolite Y,5.02,1,1.70543
592,CH4,Zeolite Y,6.02,1,1.94081
593,CH4,Zeolite Y,7,1,2.14609
594,CH4,Zeolite Y,8.11,1,2.34763
595,CH4,Zeolite Y,9.02,1,2.49706
596,CH4,Zeolite Y,10.03,1,2.6436
597,CH4,Zeolite Y,12.04,1,2.88378
598,CH4,Zeolite Y,14.04,1,3.07943
599,CH4,Zeolite Y,16.03,1,3.23986
600,CH4,Zeolite Y,18.02,1,3.37427
601,CH4,Zeolite Y,20.04,1,3.48847
602,CH4,Zeolite Y,22.04,1,3.58443
603,CH4,Zeolite Y,24.01,1,3.66624
604,CH4,Zeolite Y,26.05,1,3.73636
605,CH4,Zeolite Y,28.02,1,3.79436
606,CH4,Zeolite Y,30,1,3.84568
607,CH4,Zeolite Y,34.51,1,3.93608
608,CH4,Zeolite Y,39.02,1,3.99702
609,CH4,Zeolite Y,43.5,1,4.03632
610,CH4,Zeolite Y,48.02,1,4.05672
611,CH4,Zeolite Y,52.5,1,4.07299
612,CH4,Zeolite Y,57.03,1,4.0764
613,CH4,Zeolite Y,61.53,1,4.0651
614,CH4,Zeolite Y,66.03,1,4.0479
615,CH4,Zeolite Y,70.51,1,4.03219
616,CH4,Zeolite Y,75.01,1,4.00814
617,CH4,Zeolite Y,1.02,1,0.397007
618,CH4,Zeolite Y,2.02,1,0.756908
619,CH4,Zeolite Y,3.02,1,1.08697
620,CH4,Zeolite Y,4.01,1,1.38313
621,CH4,Zeolite Y,5.01,1,1.6478
622,CH4,Zeolite Y,6.01,1,1.88332
623,CH4,Zeolite Y,7,1,2.09095
624,CH4,Zeolite Y,8.01,1,2.27382
625,CH4,Zeolite Y,9.01,1,2.43555
626,CH4,Zeolite Y,10.01,1,2.58148
627,CH4,Zeolite Y,12,1,2.82238
628,CH4,Zeolite Y,14,1,3.01981
629,CH4,Zeolite Y,15.99,1,3.17686
630,CH4,Zeolite Y,18,1,3.30893
631,CH4,Zeolite Y,19.99,1,3.41734
632,CH4,Zeolite Y,21.9,1,3.50579
633,CH4,Zeolite Y,23.75,1,3.58321
634,CH4,Zeolite Y,25.75,1,3.64848
635,CH4,Zeolite Y,27.88,1,3.70516
636,CH4,Zeolite Y,29.88,1,3.7524
637,CH4,Zeolite Y,34.38,1,3.8362
638,CH4,Zeolite Y,38.75,1,3.88958
639,CH4,Zeolite Y,43.04,1,3.9262
640,CH4,Zeolite Y,47.53,1,3.94714
641,CH4,Zeolite Y,52.03,1,3.95585
642,CH4,Zeolite Y,56.53,1,3.95516
643,CH4,Zeolite Y,61.03,1,3.94533
644,CH4,Zeolite Y,65.53,1,3.9278
645,CH4,Zeolite Y,70.03,1,3.90383
646,CH4,Zeolite Y,70.8,1,3.90137
647,CH4,Zeolite Y,0.311701,1,0.20713
648,CH4,Zeolite Y,0.675899,1,0.33935
649,CH4,Zeolite Y,1.4043,1,0.61779
650,CH4,Zeolite Y,2.19831,1,0.89787
651,CH4,Zeolite Y,3.21544,1,1.22941
652,CH4,Zeolite Y,4.44256,1,1.57967
653,CH4,Zeolite Y,5.64671,1,1.88114
654,CH4,Zeolite Y,6.91321,1,2.13923
655,CH4,Zeolite Y,8.00252,1,2.33106
656,CH4,Zeolite Y,9.08855,1,2.51319
657,CH4,Zeolite Y,10.1647,1,2.65685
658,CH4,Zeolite Y,11.9004,1,2.85839
659,CH4,Zeolite Y,13.6263,1,3.05022
660,CH4,Zeolite Y,15.8147,1,3.23085
661,CH4,Zeolite Y,18.0032,1,3.39032
662,CH4,Zeolite Y,20.1786,1,3.51094
663,CH4,Zeolite Y,22.3506,1,3.61172
664,CH4,Zeolite Y,24.9591,1,3.71123
665,CH4,Zeolite Y,27.5642,1,3.79146
666,CH4,Zeolite Y,30.6255,1,3.87058
667,CH4,Zeolite Y,33.7129,1,3.91422
668,CH4,Zeolite Y,36.7676,1,3.97269
669,CH4,Zeolite Y,39.8026,1,3.9926
670,CH4,Zeolite Y,43.2641,1,4.01977
671,CH4,Zeolite Y,46.683,1,4.04449
672,CH4,Zeolite Y,50.1051,1,4.02983
673,CH4,Zeolite Y,53.5339,1,4.0543
674,CH4,Zeolite Y,57.4022,1,4.04987
675,CH4,Zeolite Y,61.2476,1,4.04107
676,CH4,Zeolite Y,65.5098,1,4.01788
677,CH4,Zeolite Y,69.739,1,3.98046
678,CH4,Zeolite Y,73.9191,1,3.93936
679,CH4,Zeolite Y,0.315283,1,0.11727
680,CH4,Zeolite Y,0.845528,1,0.315807
681,CH4,Zeolite Y,1.51774,1,0.560678
682,CH4,Zeolite Y,4.18746,1,1.42037
683,CH4,Zeolite Y,6.34908,1,1.97639
684,CH4,Zeolite Y,8.04496,1,2.32788
685,CH4,Zeolite Y,9.3361,1,2.55461
686,CH4,Zeolite Y,10.3258,1,2.70743
687,CH4,Zeolite Y,12.0959,1,2.9417
688,CH4,Zeolite Y,14.0969,1,3.1595
689,CH4,Zeolite Y,16.098,1,3.33882
690,CH4,Zeolite Y,18.0811,1,3.48742
691,CH4,Zeolite Y,20.0754,1,3.61602
692,CH4,Zeolite Y,22.0626,1,3.72337
693,CH4,Zeolite Y,24.0531,1,3.81584
694,CH4,Zeolite Y,26.0501,1,3.89536
695,CH4,Zeolite Y,28.0406,1,3.96473
696,CH4,Zeolite Y,30.0734,1,4.02563
697,CH4,Zeolite Y,34.5358,1,4.13163
698,CH4,Zeolite Y,39.0241,1,4.21029
699,CH4,Zeolite Y,43.5015,1,4.26506
700,CH4,Zeolite Y,47.9572,1,4.3013
701,CH4,Zeolite Y,52.46,1,4.32377
702,CH4,Zeolite Y,56.8969,1,4.33461
703,CH4,Zeolite Y,61.4391,1,4.33413
704,CH4,Zeolite Y,65.9446,1,4.32512
705,CH4,Zeolite Y,70.3858,1,4.30585
706,CH4,Zeolite Y,74.9037,1,4.27027
707,CH4,Zeolite Y,0.316125,1,0.114195
708,CH4,Zeolite Y,0.835897,1,0.312957
709,CH4,Zeolite Y,1.50193,1,0.556169
710,CH4,Zeolite Y,4.35008,1,1.46723
711,CH4,Zeolite Y,6.69458,1,2.04549
712,CH4,Zeolite Y,8.53616,1,2.4054
713,CH4,Zeolite Y,9.92719,1,2.63402
714,CH4,Zeolite Y,10.9798,1,2.78548
715,CH4,Zeolite Y,12.0818,1,2.92718
716,CH4,Zeolite Y,14.0942,1,3.14683
717,CH4,Zeolite Y,16.0913,1,3.32595
718,CH4,Zeolite Y,18.0826,1,3.47614
719,CH4,Zeolite Y,20.0655,1,3.60292
720,CH4,Zeolite Y,22.0881,1,3.71444
721,CH4,Zeolite Y,24.0743,1,3.80762
722,CH4,Zeolite Y,26.092,1,3.88805
723,CH4,Zeolite Y,28.0441,1,3.95659
724,CH4,Zeolite Y,30.0795,1,4.01761
725,CH4,Zeolite Y,34.5208,1,4.12427
726,CH4,Zeolite Y,38.9989,1,4.20462
727,CH4,Zeolite Y,43.4694,1,4.2601
728,CH4,Zeolite Y,47.9653,1,4.29946
729,CH4,Zeolite Y,52.4551,1,4.32465
730,CH4,Zeolite Y,56.9797,1,4.33736
731,CH4,Zeolite Y,61.3885,1,4.33892
732,CH4,Zeolite Y,65.9633,1,4.32747
733,CH4,Zeolite Y,70.4054,1,4.30844
734,CH4,Zeolite Y,74.9184,1,4.27364
